entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-02-09 05:26:00,2026-02-09 05:28:04,2026-02,2026-02-09,5,buy,0.01,5025.996,5028.682,2.68,82.58,2.066666666666667,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 5028.656,2.653140000000003
2026-01-28 05:06:00,2026-01-28 05:07:30,2026-01,2026-01-28,5,buy,0.01,5249.394,5252.057,2.67,97.85,1.5,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5252.054,2.6433700000000044
2026-03-02 07:47:00,2026-03-02 07:48:04,2026-03,2026-03-02,7,buy,0.01,5409.454,5412.124,2.67,102.53,1.0666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5412.114,2.643299999999999
2026-01-28 05:08:00,2026-01-28 05:10:13,2026-01,2026-01-28,5,buy,0.01,5252.358,5255.023,2.66,103.15,2.216666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5254.994,2.6333500000000005
2026-03-06 10:06:00,2026-03-06 10:06:22,2026-03,2026-03-06,10,sell,0.01,5078.471,5075.806,2.66,96.39,0.36666666666666664,tp,AC1,IMP,IMP,91,A,,,BEAR,S90-99,AC1|IMP|S91|A|BEAR,tp 5075.914,2.6333500000000005
2026-03-19 07:42:00,2026-03-19 07:42:20,2026-03,2026-03-19,7,sell,0.01,4759.394,4756.73,2.66,107.5,0.3333333333333333,tp,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,tp 4756.734,2.6333599999999935
2026-04-01 07:31:00,2026-04-01 07:31:32,2026-04,2026-04-01,7,buy,0.01,4724.929,4727.581,2.65,108.07,0.5333333333333333,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 4727.526,2.6234799999999994
2026-01-28 05:07:00,2026-01-28 05:10:12,2026-01,2026-01-28,5,buy,0.01,5251.257,5253.902,2.64,100.49,3.2,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5253.880,2.6135499999999956
2026-01-28 07:19:00,2026-01-28 07:19:18,2026-01,2026-01-28,7,buy,0.01,5278.893,5281.529,2.64,100.46,0.3,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5281.528,2.6136399999999957
2026-03-13 07:56:00,2026-03-13 08:00:49,2026-03,2026-03-13,7,sell,0.01,5083.064,5080.427,2.63,104.98,4.816666666666666,tp,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,tp 5080.479,2.6036299999999937
2026-03-18 10:57:00,2026-03-18 10:57:31,2026-03,2026-03-18,10,sell,0.01,4968.391,4965.773,2.62,103.72,0.5166666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4965.806,2.5938200000000053
2026-01-21 05:16:01,2026-01-21 05:18:26,2026-01,2026-01-21,5,buy,0.01,4868.292,4870.868,2.58,94.8,2.4166666666666665,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4870.847,2.55424
2026-03-20 10:20:00,2026-03-20 10:20:13,2026-03,2026-03-20,10,sell,0.01,4655.757,4653.184,2.58,112.24,0.21666666666666667,tp,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,tp 4653.479,2.554270000000006
2026-05-07 07:08:00,2026-05-07 07:11:00,2026-05,2026-05-07,7,buy,0.01,4744.901,4747.483,2.58,92.26,3.0,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4747.360,2.5541799999999966
2026-02-09 05:17:01,2026-02-09 05:22:40,2026-02,2026-02-09,5,buy,0.01,5021.726,5024.291,2.56,74.73,5.65,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5024.165,2.534349999999995
